Strategy,Year,OutputActivityRatio
BAU,,
BAU,2015,46.675
BAU,2016,46.675
BAU,2017,46.675
BAU,2018,46.675
BAU,2019,46.675
BAU,2020,46.675
BAU,2021,46.675
BAU,2022,46.931
BAU,2023,47.186
BAU,2024,47.442
BAU,2025,47.698
BAU,2026,47.953
BAU,2027,48.209
BAU,2028,48.465
BAU,2029,48.72
BAU,2030,48.976
BAU,2031,49.232
BAU,2032,49.487
BAU,2033,49.743
BAU,2034,49.999
BAU,2035,50.254
BAU,2036,50.51
BAU,2037,50.766
BAU,2038,51.022
BAU,2039,51.277
BAU,2040,51.533
BAU,2041,51.789
BAU,2042,52.044
BAU,2043,52.3
BAU,2044,52.556
BAU,2045,52.811
BAU,2046,53.067
BAU,2047,53.323
BAU,2048,53.578
BAU,2049,53.834
BAU,2050,54.09
NDP,,
NDP,2015,46.675
NDP,2016,46.675
NDP,2017,46.675
NDP,2018,46.675
NDP,2019,46.675
NDP,2020,46.675
NDP,2021,46.675
NDP,2022,47.389
NDP,2023,48.103
NDP,2024,48.818
NDP,2025,49.532
NDP,2026,50.246
NDP,2027,50.96
NDP,2028,51.674
NDP,2029,52.389
NDP,2030,53.103
NDP,2031,53.817
NDP,2032,54.531
NDP,2033,55.245
NDP,2034,55.96
NDP,2035,56.674
NDP,2036,57.388
NDP,2037,58.102
NDP,2038,58.817
NDP,2039,59.531
NDP,2040,60.245
NDP,2041,60.959
NDP,2042,61.673
NDP,2043,62.388
NDP,2044,63.102
NDP,2045,63.816
NDP,2046,64.53
NDP,2047,65.244
NDP,2048,65.959
NDP,2049,66.673
NDP,2050,67.387
