Strategy,Year,TotalTechnologyAnnualActivityLowerLimit
BAU,,
BAU,2015,9.805
BAU,2016,16.328
BAU,2017,17.634
BAU,2018,16.982
BAU,2019,16.998
BAU,2020,17.127
BAU,2021,18.055
BAU,2022,18.497
BAU,2023,18.395
BAU,2024,19.628
BAU,2025,20.068
BAU,2026,20.681
BAU,2027,19.502
BAU,2028,19.318
BAU,2029,22.265
BAU,2030,22.649
BAU,2031,22.676
BAU,2032,21.508
BAU,2033,22.733
BAU,2034,22.765
BAU,2035,21.819
BAU,2036,22.741
BAU,2037,22.874
BAU,2038,22.69
BAU,2039,22.959
BAU,2040,23.005
BAU,2041,23.056
BAU,2042,23.109
BAU,2043,23.166
BAU,2044,23.343
BAU,2045,23.407
BAU,2046,23.478
BAU,2047,23.812
BAU,2048,24.431
BAU,2049,24.977
BAU,2050,25.529
NDP,,
NDP,2015,9.805
NDP,2016,16.328
NDP,2017,17.634
NDP,2018,16.982
NDP,2019,16.998
NDP,2020,17.127
NDP,2021,18.045
NDP,2022,18.556
NDP,2023,19.066
NDP,2024,19.44
NDP,2025,20.088
NDP,2026,20.181
NDP,2027,21.032
NDP,2028,21.622
NDP,2029,22.134
NDP,2030,22.498
NDP,2031,22.504
NDP,2032,22.51
NDP,2033,22.514
NDP,2034,22.69
NDP,2035,23.865
NDP,2036,25.112
NDP,2037,25.768
NDP,2038,25.953
NDP,2039,26.139
NDP,2040,26.325
NDP,2041,26.512
NDP,2042,26.699
NDP,2043,26.886
NDP,2044,27.357
NDP,2045,28.357
NDP,2046,29.303
NDP,2047,30.258
NDP,2048,31.335
NDP,2049,32.116
NDP,2050,32.778
