Strategy,Year,CapitalCost
BAU,,
BAU,2015,6659.6
BAU,2016,6659.6
BAU,2017,6659.6
BAU,2018,6659.6
BAU,2019,6659.6
BAU,2020,6659.6
BAU,2021,6659.6
BAU,2022,6689.5
BAU,2023,6719.3
BAU,2024,6749.2
BAU,2025,6779
BAU,2026,6808.9
BAU,2027,6838.7
BAU,2028,6868.6
BAU,2029,6898.4
BAU,2030,6928.3
BAU,2031,6958.2
BAU,2032,6988
BAU,2033,7017.9
BAU,2034,7047.7
BAU,2035,7077.6
BAU,2036,7107.4
BAU,2037,7137.3
BAU,2038,7167.1
BAU,2039,7197
BAU,2040,7226.8
BAU,2041,7256.7
BAU,2042,7286.5
BAU,2043,7316.4
BAU,2044,7346.2
BAU,2045,7376.1
BAU,2046,7406
BAU,2047,7435.8
BAU,2048,7465.7
BAU,2049,7495.5
BAU,2050,7525.4
NDP,,
NDP,2015,6659.6
NDP,2016,6659.6
NDP,2017,6659.6
NDP,2018,6659.6
NDP,2019,6659.6
NDP,2020,6659.6
NDP,2021,6659.6
NDP,2022,6740
NDP,2023,6820.4
NDP,2024,6900.7
NDP,2025,6981.1
NDP,2026,7061.5
NDP,2027,7141.9
NDP,2028,7222.2
NDP,2029,7302.6
NDP,2030,7383
NDP,2031,7463.4
NDP,2032,7543.7
NDP,2033,7624.1
NDP,2034,7704.5
NDP,2035,7784.9
NDP,2036,7865.2
NDP,2037,7945.6
NDP,2038,8026
NDP,2039,8106.4
NDP,2040,8186.7
NDP,2041,8267.1
NDP,2042,8347.5
NDP,2043,8427.9
NDP,2044,8508.2
NDP,2045,8588.6
NDP,2046,8669
NDP,2047,8749.4
NDP,2048,8829.7
NDP,2049,8910.1
NDP,2050,8990.5
