Year,TotalTechnologyAnnualActivityUpperLimit
,
2015,152.12
2016,191.099
2017,151.447
2018,129.06
2019,145.127
2020,106.607
2021,119.765
2022,155.543
2023,127.161
2024,161.75
2025,110.315
2026,116.177
2027,135.663
2028,185.326
2029,154.782
2030,157.942
2031,188.936
2032,136.226
2033,123.676
2034,171.378
2035,143.357
2036,147.965
2037,133.412
2038,116.037
2039,113.934
2040,136.251
2041,148.953
2042,104.494
2043,152.609
2044,157.501
2045,147.339
2046,133.892
2047,110.933
2048,136.765
2049,116.842
2050,146.95
