Strategy,Year,FixedCost
BAU,,
BAU,2015,1699
BAU,2016,1699
BAU,2017,1699
BAU,2018,1699
BAU,2019,1699
BAU,2020,1699
BAU,2021,1699
BAU,2022,1706.6
BAU,2023,1714.2
BAU,2024,1721.8
BAU,2025,1729.5
BAU,2026,1737.1
BAU,2027,1744.7
BAU,2028,1752.3
BAU,2029,1759.9
BAU,2030,1767.5
BAU,2031,1775.2
BAU,2032,1782.8
BAU,2033,1790.4
BAU,2034,1798
BAU,2035,1805.6
BAU,2036,1813.2
BAU,2037,1820.9
BAU,2038,1828.5
BAU,2039,1836.1
BAU,2040,1843.7
BAU,2041,1851.3
BAU,2042,1858.9
BAU,2043,1866.6
BAU,2044,1874.2
BAU,2045,1881.8
BAU,2046,1889.4
BAU,2047,1897
BAU,2048,1904.6
BAU,2049,1912.3
BAU,2050,1919.9
NDP,,
NDP,2015,1699
NDP,2016,1699
NDP,2017,1699
NDP,2018,1699
NDP,2019,1699
NDP,2020,1699
NDP,2021,1699
NDP,2022,1719.5
NDP,2023,1740
NDP,2024,1760.5
NDP,2025,1781
NDP,2026,1801.5
NDP,2027,1822
NDP,2028,1842.5
NDP,2029,1863
NDP,2030,1883.5
NDP,2031,1904.1
NDP,2032,1924.6
NDP,2033,1945.1
NDP,2034,1965.6
NDP,2035,1986.1
NDP,2036,2006.6
NDP,2037,2027.1
NDP,2038,2047.6
NDP,2039,2068.1
NDP,2040,2088.6
NDP,2041,2109.1
NDP,2042,2129.6
NDP,2043,2150.1
NDP,2044,2170.6
NDP,2045,2191.1
NDP,2046,2211.6
NDP,2047,2232.1
NDP,2048,2252.6
NDP,2049,2273.1
NDP,2050,2293.7
