Strategy,Year,SpecifiedAnnualDemand
BAU,2015,0.2211
BAU,2016,0.2237
BAU,2017,0.2263
BAU,2018,0.2289
BAU,2019,0.2314
BAU,2020,0.2338
BAU,2021,0.2362
BAU,2022,0.2385
BAU,2023,0.2407
BAU,2024,0.2429
BAU,2025,0.245
BAU,2026,0.2471
BAU,2027,0.249
BAU,2028,0.2509
BAU,2029,0.2528
BAU,2030,0.2545
BAU,2031,0.2563
BAU,2032,0.2579
BAU,2033,0.2595
BAU,2034,0.2611
BAU,2035,0.2627
BAU,2036,0.2642
BAU,2037,0.2656
BAU,2038,0.267
BAU,2039,0.2683
BAU,2040,0.2696
BAU,2041,0.2708
BAU,2042,0.2719
BAU,2043,0.273
BAU,2044,0.274
BAU,2045,0.2749
BAU,2046,0.2758
BAU,2047,0.2766
BAU,2048,0.2774
BAU,2049,0.2781
BAU,2050,0.2788
NDP,2015,0.2211
NDP,2016,0.2237
NDP,2017,0.2263
NDP,2018,0.2289
NDP,2019,0.2314
NDP,2020,0.2338
NDP,2021,0.2347
NDP,2022,0.2355
NDP,2023,0.2362
NDP,2024,0.2368
NDP,2025,0.2374
NDP,2026,0.2379
NDP,2027,0.2384
NDP,2028,0.2387
NDP,2029,0.2391
NDP,2030,0.2393
NDP,2031,0.2395
NDP,2032,0.2396
NDP,2033,0.2397
NDP,2034,0.2398
NDP,2035,0.2399
NDP,2036,0.2398
NDP,2037,0.2397
NDP,2038,0.2396
NDP,2039,0.2394
NDP,2040,0.2391
NDP,2041,0.2388
NDP,2042,0.2384
NDP,2043,0.2379
NDP,2044,0.2374
NDP,2045,0.2369
NDP,2046,0.2362
NDP,2047,0.2355
NDP,2048,0.2348
NDP,2049,0.2339
NDP,2050,0.2331
